cloverID,cloverName,iParent,iSelectionName,iPrice,iListPrice,iStock,iSell
ZXQR54HS53BCE,Artograph Glass Plate,,,695,,0,1
KFMY70N1B9SM6,Comart Speciality Opaque Copper Metallic 1oz,,,289,,16,1
K81NRY7PZAED6,Opaque Copper Metallic Comart,,,825,,5,1
S30JFR85T8VKJ,Comart Speciality Opaque Bronze Metallic 1oz,,,289,,11,1
3SBX9SVB6KTVW,Opaque Bronze Metallic Comart 4oz,,,825,,3,1
GBNGVFY9NGNRY,Comart Speciality Opaque Silver Metallic 1oz,,,289,,-1,1
9CAYK52R71X44,Comart Opaque Silver Metallic 16oz,,,2995,,0,1
79BHR326746G6,Medea Comart Opaque Silver Metallic 4oz,,,825,,1,1
M272KEZ681A58,Comart Speciality Opaque Gold Metallic 1oz,,,289,,9,1
9RVXXETKZBVHP,Opaque Gold Metallic Comart 4oz,,,825,,4,1
28E1ATE3FVPNC,Comart Specialty Pearlescent Additive 1oz *DISCONTINUED,,,289,,4,1
0BXQ60Y7A3Y7W,Comart Specialty Pearlescent Additive 16oz *DISCONTINUED,,,2995,,-1,1
H4FPWWHWX693C,Comart Pearlescent Additive 4oz *DISCONTINUED,,,825,,14,1
HSP8WHZRPCZH2,Paasche Bench Top Spray Booth Explosion Proof Motor,,,45900,,0,1
HGMRD5GE336AR,Paasche Bench Top Spray Booth Motor,,,32500,,0,1
6SSJ7B8EAZDRA,"1/4"" Female Thread w/ Barb & O Ring Pressure Seal (Specialty Item)",,,1295,,0,1
EAB8QG8MHGQRG,1/8-1/8 NPT,,,95,,23,1
Z27GNKNJBN1T4,Holbien 10 AeroFlash Transparent Orange 1oz,10-01,,880,0,9,1
1BYTMXHA04V98,Badger 100 Side Feed Right Hand Airbrush (Fine),,,6895,,3,1
6RKPW8BTDPP9W,Badger 100 Side Feed Medium Head  Airbrush Right Hand,,,6895,,4,1
Y3YKDQAD7V4BC,Badger 100 G  Airbrush Fine Head,,,6895,,1,1
6N99AZMQJZBGW,Badger 100-G Airbrush Medium Head,,,6895,,5,1
ESFSY9YYXZGNA,Badger 100-LG Airbrush Medium Head,,,6895,,14,1
HJ7H9Y8XNF8B2,Badger 100-SG Airbrush Fine Head,,,8995,,0,1
007BFFSPH7Q7T,Badger 100-SG Airbrush Medium Head,,,8995,,-1,1
G0ZHCZBR6GMT4,Badger 100 Side Feed Fine Head Airbrush Left Hand,,,6895,,0,1
F8GJMNR0QKR4C,Badger 100 Side Feed Medium Head Airbrush Left Hand,,,6895,,-1,1
S81XGFEZ1EPZJ,Grifhold 4 piece Tweezer Set,,,0,,0,1
GD02VH4AN0CJJ,Advantage Economy Lacquer Thinner Gallon,10001,,2195,0,-3,1
E19PVDW9DAWQE,Advantage Economy Lacquer Thinner 5 Gal,,,7221,,3,1
C49S4277KHVP8,Sata Gun Oil Single Tube,,,699,,0,1
JE654R1W54X52,Sata Lubricating Oil,,,2785,,-1,1
RZ815W6EKVGM6,Single Edge Razor Blades 100pk,90001,,695,0,-7,1
NRH30WCMJVTYE,One Shot 100L  Vermillion 8oz,100L,8 oz,1767,,-7,1
KYGR7CSMCAJJC,One Shot 100L Vermillion 16oz,100L,Pint,2571,,-2,1
QD5490R7S082M,"Mach One 101  #0 Striper (1-5/16"")",101,"101-0 (1-5/16"")",1280,,-6,1
RDCQGT0ZT9Z0R,"Mach-One 101 # 00 Striper (1-7/8"")",101,"101-00 (1-7/8"")",1200,,-3,1
C53X8GGSR9Z8A,"Mach-One 101 # 1  Striper (2"")",101,"101-1 (2"")",1440,,-7,1
ADND095F95VRR,"Mach-One 101 # 2 Striper (2-1/16"")",101,"101-2 (2-1/16"")",1520,,3,1
6EFXGVWZJNEQC,Mack Series 1010 Striping # 0,,,1200,,-13,1
