Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item,iParent,iSelectionName
VXQHRDBBBGG7J,SEM Finish Line Striping Catalyst 8oz,,1950,Fixed,,DEFAULT,14.50,,04016,,2,,No,No,,
8NC8PRFHF4KRT,SEM Finish Line Striping Urethane Silver 4oz.,,1486,Fixed,,DEFAULT,10.00,,04022,,,,No,No,,
MZDVMTYSMJZAM,SEM Finish Line Striping Urethane Gold 4oz.,,1486,Fixed,,DEFAULT,10.00,,04032,,,,No,No,,
VAERZPGGC0PRC,SEM Finish Line Striping Urethane Black 4oz.,,1486,Fixed,,DEFAULT,10.00,,04052,,,,No,No,,
7YEBG7FVPRRZY,SEM Finish Line Striping Urethane Bright Red 4oz.,,1950,Fixed,,DEFAULT,14.50,,04062,,,,No,No,,
S8Y2J3Q46ZXAT,SEM Finish Line Striping Urethane Bright Yellow 4oz.,,1950,Fixed,,DEFAULT,14.50,,04072,,1,,No,No,,
RGDYDK60HB5FE,SEM Finish Line Striping Urethane Bright Orange 4oz.,,1950,Fixed,,DEFAULT,14.50,,04082,,1,,No,No,,
9JJYQ24W1ZJK0,SEM Finish Line Striping Urethane Imitation Gold 4oz.,,1950,Fixed,,DEFAULT,14.50,,04092,,6,,No,No,,
X4C3M77TRXCW8,SEM Finish Line Striping Urethane Process Blue 4oz.,,1950,Fixed,,DEFAULT,14.50,,04112,,2,,No,No,,
X3BWEPSVDP2KM,SEM Finish Line Striping Urethane Process Green 4oz.,,1950,Fixed,,DEFAULT,14.50,,04122,,3,,No,No,,
ANASKPTW7H7GJ,SEM Finish Line Striping Urethane Medium Gray 4oz.,,1950,Fixed,,DEFAULT,14.50,,04132,,1,,No,No,,
JV05K27AM2PT0,SEM Finish Line Striping Urethane Purple 4oz.,,1950,Fixed,,DEFAULT,14.50,,04142,,6,,No,No,,
CJE4PZHXHRTR4,SEM Finish Line Striping Urethane Magenta 4oz.,,1950,Fixed,,DEFAULT,14.50,,04152,,3,,No,No,,
KJXYD3NAN95EW,4oz CYLINDER 24/410 NAT HDPE Bottle (950/Ea),,70,Fixed,,DEFAULT,0.09,,04C24HN,,5615,,No,No,,
YYFPFG9EA66DA,4oz Bottle Only,,70,Fixed,,DEFAULT,0.09,,04C24HN:4OZ-Bottle,,4613,,No,No,,
QB4PJ1XA7DPQY,DA 3M Back Plate,,2661,Fixed,,DEFAULT,0.00,,05276,,-1,,No,No,,
EV0V2S0MEKHCW,"6"" SOFT INTERFACE PAD",,1080,Fixed,,DEFAULT,10.80,,05277,,,,No,No,,
N7B9HM4TD85TT,3M Hookit II Disc Pad 6,,2600,Fixed,,DEFAULT,0.00,,05286,,,,No,No,,
DGGBJARC8YE3J,"2 3/4 in x 5 in, StikitHa; in x 5in 10 per case",,2047,Fixed,,DEFAULT,12.42,,05442,,1,,No,No,,
JX1FCKZ5JNWPW,"3M Hookit 6"" Clean Sand SOFT Pad (PURPLE)",,4886,Fixed,,DEFAULT,0.00,,05551,,-1,,No,No,,
QT2CQ42PZM2E8,3M Superbuff Wool Pad  III 2+2,,4035,Fixed,,DEFAULT,24.31,,05704,,,,No,No,,
BCFCYSK0QCPD4,3M PERFICT-IT POLISHING PAD,,3495,Fixed,,DEFAULT,19.95,051131057074,05707,,-1,,No,No,,
PW2X1B7GWJD4A,3M FOAM POLISING PAD FINE,,2793,Fixed,,DEFAULT,19.95,,05708,,-2,,No,No,,
