Clover ID,Name,Alternate Name,Price,Price Type,Price Unit,Tax Rates,Cost,Product Code,SKU,Modifier Groups,Quantity,Labels,Hidden,Non-revenue item
RKTSWJ0GBZEHT,Comart Opaque Indian Red 1oz *DISCONTINUED,,1.99,Fixed,,DEFAULT,1.42,,1-022-1,DISCONTINUED ITEM,6,,No,No
05358H5ZJ5746,Comart Opaque Indian Red 32oz *DISCONTINUED,,29.95,Fixed,,DEFAULT,14.17,,1-022-16,DISCONTINUED ITEM,1,,No,No
80Y63DS0H6RN0,Comart Opaque Indian Red 4oz *DISCONTINUED,,3.99,Fixed,,DEFAULT,3.82,,1-022-4,DISCONTINUED ITEM,2,,No,No
SWN4Y6M81GDZT,Comart Opaque Naphtol Dark Red 1oz,,2.89,Fixed,,DEFAULT,1.42,734748302613,1-026-1,,17,,No,No
AAC84FB1Y3X16,Comart Opaque Naphtol Dark Red 32oz,,45.00,Fixed,,DEFAULT,21.21,734748302668,1-026-32,,,,No,No
ZSQTC592B15NP,Comart Opaque Naphtol Dark Red 4oz,,8.25,Fixed,,DEFAULT,3.82,734748302637,1-026-4,,5,,No,No
ERDAW8KG0QYPY,Comart Opaque Lime Green 1oz *DISCONTINUED,,1.99,Fixed,,DEFAULT,1.42,,1-027-1,DISCONTINUED ITEM,10,,No,No
RY99XAVJW6DMW,Comart Opaque Lime Green 16oz *DISCONTINUED,,29.95,Fixed,,DEFAULT,14.17,,1-027-16,DISCONTINUED ITEM,,,No,No
42V2MHQW4M39P,Comart Opaque Lime Green 32oz *DISCONTINUED,,45.00,Fixed,,DEFAULT,21.21,,1-027-32,DISCONTINUED ITEM,,,No,No
MZMZTKPFPF1B2,Comart Opaque Lime Green 4oz *DISCONTINUED,,3.99,Fixed,,DEFAULT,3.82,,1-027-4,DISCONTINUED ITEM,-3,,No,No
NH3AR2263616R,Comart Opaque Violet Madder 1oz *DISCONTINUED,,1.99,Fixed,,DEFAULT,1.42,,1-034-1,DISCONTINUED ITEM,12,,No,No
G5YGXG6145ZAY,Comart Opaque Violet Madder 16 oz *DISCONTINUED,,29.95,Fixed,,DEFAULT,14.17,,1-034-16,DISCONTINUED ITEM,1,,No,No
HTRRAEC7YG4Z4,Comart Opaque Violet Madder 4oz *DISCONTINUED,,3.99,Fixed,,DEFAULT,3.82,,1-034-4,DISCONTINUED ITEM,4,,No,No
97AMTJDD6VZNJ,Comart Opaque Mineral Blue 1oz *DISCONTINUED,,1.99,Fixed,,DEFAULT,1.40,,1-037-1,DISCONTINUED ITEM,9,,No,No
1VHCXPRAE5N1M,Comart Opaque Mineral Blue 16oz *DISCONTINUED,,29.95,Fixed,,DEFAULT,13.96,,1-037-16,DISCONTINUED ITEM,,,No,No
HCVX5SZ1S2ESY,Comart Opaque Mineral Blue 4oz *DISCONTINUED,,3.99,Fixed,,DEFAULT,3.82,,1-037-4,DISCONTINUED ITEM,3,,No,No
RCKDDM1CAC5P2,Comart Opaque Paynes Gray 1oz,,2.89,Fixed,,DEFAULT,1.42,734748304419,1-044-1,,-3,,No,No
FEHSQ5F0EBEWY,Comart Opaque Paynes Gray 32oz,,45.00,Fixed,,DEFAULT,21.21,734748304464,1-044-32,,,,No,No
H69R1P2RRCMYM,Comart Opaque Paynes Gray 4oz,,8.25,Fixed,,DEFAULT,3.88,734748304433,1-044-4,,7,,No,No
ZXQR54HS53BCE,Artograph Glass Plate,,6.95,Fixed,,DEFAULT,0.00,,1-045,,,,No,No
KFMY70N1B9SM6,Comart Speciality Opaque Copper Metallic 1oz,,2.89,Fixed,,DEFAULT,1.42,734748310113,1-101-1,,16,,No,No
K81NRY7PZAED6,Opaque Copper Metallic Comart,,8.25,Fixed,,DEFAULT,3.82,,1-101-4,,5,,No,No
S30JFR85T8VKJ,Comart Speciality Opaque Bronze Metallic 1oz,,2.89,Fixed,,DEFAULT,1.42,734748310212,1-102-1,,11,,No,No
