pID,pName,pSection,pPrice,pWholesalePrice,pListPrice,pShipping,pShipping2,pWeight,pDisplay,pSell,pBackOrder,pGiftWrap,pExemptions,pInStock,pDims,pTax,pDropship,pStaticPage,pStockByOpts,pRecommend,pOrder,pSKU,pManufacturer,pSearchParams,pTitle,pMetaDesc,pStaticURL,pMinQuant,pDescription,pLongDescription,options
81026,Acrylic X-26 Clear Orange,131,3.25,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,40,,,,,0,,,[]
81320,Acrylic XF-20 Medium Grey,130,3.25,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,40,,,,,0,,,[]
4011L,Activator for 4009 & 4010 Urethane Clear,455,0,0,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,0,,5,,,,,0,,,[]
139479,Advanced Airbrush Art,326,19.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
133536,Advanced Custom Motorcycle Painting By Dave Perewitz,324,24.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
144085,Advanced Pinstripe Art,284,19.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
09901,Advantage General Purpose Lacquer Thinner Gallon,292,22.5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
30632,Afterglow,785,17.95,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,59,,,,,0,,,[]
DGR-516,Air Blade 1/6 hp Compressor,492,289,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
93512100,AIR CAP ASSY LS-400-05 (Entech),1,170.1,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
93813611,"Air Cap Set ""W200/400-W1",474,89,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
93859611,"Air Cap Set ""W400-LV1",474,89,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
93830611,"Air Cap Set ""W400-LV2",474,89,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
I-680-1,Air Nipple,574,9.5,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
AOLHC,"Air Oil & Lead ""All Hail the Chief!"" Createx Stencil and Paint Kit Workshop in a Box",911,149.99,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
AOL-MM,"Air Oil & Lead ""Money Maker"" Stencil Set of 6",911,39.99,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
HD01F,Air Supplied Painting Hood,665,92.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
I-505-1,Air Valve,254,9.5,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
I-015-4,Air Valve,253,6.5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
93013881,"Air Valve (RG3,LPH50/80)",466,11.7,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
I-020-1,Air Valve Body,253,14.95,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
I-510-2,Air Valve Body,254,26.95,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
I-025-1,Air Valve Guide (DISCONTINUED),253,4.5,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
93006881,"Air Valve Shaft (RG3,LPH50/80)",466,11.7,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
93935430,Air Valve Shaft (Superseeded 93595530),470,9.4,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,,2,,,,,0,,,[]
ABR-KILLERPAINT-CLASS,"Airbrush Rendezvous ""Killer Paint"" 3 Day Class",646,575,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-KILLERPAINT-CLASS-DP,"Airbrush Rendezvous ""Killer Paint"" 3 Day Class Down Payment",646,250,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-1DAYCREATEX-CLASS,Airbrush Rendezvous 1 Day Candy Master Class,646,150,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-1DAYPINSTRIPING-CLASS,Airbrush Rendezvous 1 Day Pinstriping Class w/ Jeff Styles,646,150,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-AUTOGRAPHICS-CLASS,Airbrush Rendezvous Auto Graphics 3 Day Class,646,575,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-AUTOGRAPHICS-CLASS-DP,Airbrush Rendezvous Auto Graphics 3 Day Class Down Payment,646,250,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-CREATEX-CLASS,Airbrush Rendezvous Createx Master Workshop,646,575,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-CREATEX-CLASS-DP,Airbrush Rendezvous Createx Master Workshop Down Payment,646,250,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-DRAMATICLIGHTING-CLASS,Airbrush Rendezvous Dramatic Lighting & Caricaturization 3 Day Class,646,575,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-DRAMATICLIGHTING-CLASS-DP,Airbrush Rendezvous Dramatic Lighting & Caricaturization 3 Day Class Down Payment,646,250,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-TSHIRT-CLASS,Airbrush Rendezvous Dramatic Lighting & Characterization FX 3 Day Class,646,575,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-FANTASYTEXTURE-CLASS,Airbrush Rendezvous Fantasy Art & Texture FX 3 Day Class,646,575,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-FANTASYTEXTURE-CLASS-DP,Airbrush Rendezvous Fantasy Art & Texture FX 3 Day Class Down Payment,646,250,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-REALISM-CLASS,Airbrush Rendezvous Freehand Realism 3 Day Class,646,575,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-REALISM-CLASS-DP,Airbrush Rendezvous Freehand Realism 3 Day Class Down Payment,646,250,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-AEROSOL-CLASS-DP,Airbrush Rendezvous Gear Boxxx Aerosol 3 Day Class Down Payment,646,250,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-INTRODUCTION-CLASS,Airbrush Rendezvous Intro to Airbrush Workshop,646,150,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-INTROTOPORTRAIT-CLASS,Airbrush Rendezvous Intro to Portraits Workshop,646,150,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-LUMILOR-CLASS,"Airbrush Rendezvous Lumilor ""Get-Lit"" 3 Day Class",646,599,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-LUMILOR-CLASS-DP,"Airbrush Rendezvous Lumilor ""Get-Lit"" 3 Day Class Down Payment",646,300,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-PINSTRIPING-CLASS,Airbrush Rendezvous Pinstriping 3 Day Class,646,575,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-PINSTRIPING-CLASS-DP,Airbrush Rendezvous Pinstriping 3 Day Class Down Payment,646,250,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-1DAYPLOTTER99-CLASS,"Airbrush Rendezvous Plotter Graphics, Techniques & Design",646,99,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-1DAYPLOTTER-CLASS,"Airbrush Rendezvous Plotter Graphics, Techniques & Design",646,150,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-PORTRAIT-CLASS,Airbrush Rendezvous Portrait Mural 3 Day Class,646,575,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
*ABR-PORTRAIT-CLASS-DP,Airbrush Rendezvous Portrait Mural 3 Day Class Down Payment,646,250,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-SPRAYGUN-CLASS,Airbrush Rendezvous Spray Gun Handling & Techniques 1 Day Class,646,150,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-STREETART-CLASS,Airbrush Rendezvous Street Style Panel Art 3 Day Class,646,575,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABR-STREETART-CLASS-DP,Airbrush Rendezvous Street Style Panel Art 3 Day Class Down Payment,646,250,0,0,0,0,0,0,1,0,0,5,0,,,0,0,0,0,0,,0,,,,,0,,,[]
ABBR,Airbrusher's Brushes Refill Kit (4),319,13.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
133673,Airbrushing 101,326,27.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
146660,Airbrushing 101 by Doug Mitchel,326,27.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
D6NE01,Airbrushing Black & White On Canvas by Noah,111,29.95,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,73,,,,,0,,,[]
EAR322,Aircraft Paint Remover 18oz Aerosol,292,13.5,0,0,0,0,0,1,1,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
GAR343,Aircraft Paint Remover Gallon,292,42.63,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,,0,,,,,0,,,[]
