"optGrpID","optGrpWorkingName"
"169","Sizes-4444"
"170","Sizes-4446"
"1450","Sizes-4446 16oz"
"1163","Sizes-4500 16/32 only"
"1284","Sizes-4500 32 only"
"173","Sizes-4520-26/4501-07"
"1455","Sizes-4520-26/4501-07 +32"
"1454","Sizes-4520-26/4501-07 16 ONLY"
"1432","Sizes-4520-26/4501-07 16 ONLY"
"171","Sizes-4580/86/88"
"172","Sizes-4581-85/4587/89-90"
"1435","Sizes-4581-85/4587/89-90 *32oz ONLY"
"1412","Sizes-4581-85/4587/89-90 16/32"
"1456","Sizes-4581-85/4587/89-90 4/32"
"1458","Sizes-4600 16/32"
"1105","Sizes-4600 16oz"
"1459","Sizes-4600 32"
"1457","Sizes-4600 4/16"
"175","Sizes-4600 4oz"
"649","Sizes-4700 Auto Borne"
"222","Sizes-838"
"183","Sizes-Aeroflash"
"224","Sizes-AJ"
"202","Sizes-Aqua"
"1055","Sizes-Aqua Flow Hot Tracer (16/32)"
"1034","Sizes-Aqua Flow Hot/Op (16/32)"
"960","Sizes-Aqua Flow Hot/Op (16/32/G)"
"1040","Sizes-Aqua Flow Hot/Op (4/16/32)"
"962","Sizes-Aqua Flow Hot/Op (4/16/32/G)"
"1033","Sizes-Aqua Flow Hot/Op (8/16/32)"
"961","Sizes-Aqua Flow Hot/Op (8/16/32/G)"
"204","Sizes-Aqua Flow Hot/Op (ALL)"
"1038","Sizes-Aqua Flow Hot/Op (NO Gal)"
"1344","Sizes-Aqua Flow Hot/Op BLUE/AQUA (16/32)"
"1035","Sizes-Aqua Flow T (16/32)"
"203","Sizes-Aqua Flow T (16/32/G)"
"1036","Sizes-Aqua Flow T (4/16/32)"
"966","Sizes-Aqua Flow T (4/16/32/G)"
"1037","Sizes-Aqua Flow T (8/16/32)"
"965","Sizes-Aqua Flow T (8/16/32/G)"
"963","Sizes-Aqua Flow T (ALL)"
"1039","Sizes-Aqua Flow T (NO Gal)"
"1136","Sizes-Auto Air Gloss Black"
"305","Sizes-Automask"
"322","Sizes-Aztek Glass"
"324","Sizes-Aztek Gravity Side"
"323","Sizes-Aztek Side"
"624","Sizes-BC KIT"
"298","Sizes-Black blanks"
"903","Sizes-BLKLPH400"
"899","Sizes-BLKLPH50"
"900","Sizes-BLKLPH80"
"902","Sizes-BLKLS400"
"1089","Sizes-BLKLS400E"
"901","Sizes-BLKRG3"
"307","Sizes-Blue Fine Line"
"237","Sizes-Bpres"
"326","Sizes-Canvas 1/2"
"325","Sizes-Canvas 1-1/2"
"484","Sizes-Chop Rags High"
"483","Sizes-Chop Rags Low"
"686","Sizes-CM6"
"180","Sizes-Comart"
"1149","Sizes-Comart 4 & 16"
"182","Sizes-Comart Cleaner"
"670","Sizes-Createx Fluor. Set"
"672","Sizes-Createx Iridescent Set"
"669","Sizes-Createx Op. Set"
"671","Sizes-Createx Pearl Set"
"668","Sizes-Createx Trans Set"
"590","Sizes-Crescent 9208"
"229","Sizes-DC Flatliner"
"1085","Sizes-DC MM"
"1086","Sizes-DC MS"
"702","Sizes-Dura"
"684","Sizes-Evercoat Car Cover"
"241","Sizes-F/L"
"655","Sizes-FBC KIT"
"189","Sizes-Frosty Pearls"
"187","Sizes-Ghost Flake"
"245","Sizes-Glawson"
"206","Sizes-Grafix Frisk Roll"
"600","Sizes-Grafix Frisk Sheet"
"308","Sizes-Green Fine Line"
"309","Sizes-Green Masking Tape"
"140","Sizes-H"
"226","Sizes-Hannukaine"
"913","Size-Shirts"
"1090","Size-Shirts Red/Ivory"
"504","Size-Shirts Staff"
"142","Sizes-HOSEMT"
"209","Sizes-HS Hardener Virtus"
"235","Sizes-Iridescent"
"246","Sizes-Jet Stroke"
"430","Sizes-Kafk Script"
"856","Sizes-Kafka Brush Oil"
"234","Sizes-Kafka Long"
"233","Sizes-Kafka Signature"
"592","Sizes-Kafka Smooth Stroke"
"569","Sizes-KBC (17,19)"
"620","Sizes-KBC KIT"
"622","Sizes-KK KIT"
"619","Sizes-Lazer Line Heads"
"591","Sizes-Letramax Hot Pres"
"334","Sizes-LPH100"
"428","Sizes-LPH300"
"335","Sizes-LPH400"
"431","Sizes-LPH400-LVB"
"576","Sizes-LPH400LVX"
"867","Sizes-LPH400SCS"
"337","Sizes-LPH50"
"429","Sizes-LPH80"
"866","Sizes-LPH80SCS"
"240","Sizes-M/B"
"239","Sizes-M/L"
"243","Sizes-Mach1"
"626","Sizes-MB KIT"
"625","Sizes-MBC KIT"
"639","Sizes-NE KIT"
"191","Sizes-ONE 100/104/168"
"1393","Sizes-ONE 100/104/168 *HP/PT O/S*"
"1394","Sizes-ONE 100/104/168 *HP/PT/QT O/S*"
"1374","Sizes-ONE 100/104/168 *QP O/S*"
"192","Sizes-ONE 101/103/114-118/149/150/152/157-58/160/195"
"474","Sizes-ONE 102"
"197","Sizes-ONE 120/130/132/134/141"
"473","Sizes-ONE 124"
"1433","Sizes-ONE 130L P/Q *O/S*"
"1375","Sizes-ONE 130L QP/HP *O/S*"
"1409","Sizes-ONE 132L *QP O/S*"
"198","Sizes-ONE 142/144/148/191"
"199","Sizes-ONE 143/151/154/156/193"
"195","Sizes-ONE 199"
"1460","Sizes-ONE 199 8/32 O/S"
"1413","Sizes-ONE 199 HP ONLY"
"1464","Sizes-ONE 199L Pint Only"
"476","Sizes-ONE 4001"
"477","Sizes-ONE 4002"
"478","Sizes-ONE 4005"
"811","Sizes-ONE 4015"
"249","Sizes-Paasche Hose"
"627","Sizes-PBC KIT"
"623","Sizes-PBCBLACK KIT"
"236","Sizes-Pearl Createx"
"314","Sizes-Poly Brush"
"315","Sizes-Poly Roller"
"188","Sizes-Psycho Flake"
"1087","Sizes-QM-D"
"227","Sizes-Quinn Brown"
"228","Sizes-Quinn Grey"
"184","Sizes-Regular Flake"
"906","Sizes-Regular Flake 4oz / 6oz"
"338","Sizes-RG3"
"316","Sizes-Roller Handle"
"701","Sizes-S/B"
"673","Sizes-SAS Respirator"
"685","Sizes-SBMM"
"247","Sizes-Series 127"
"424","Sizes-Series 20"
"311","Sizes-Series 40"
"425","Sizes-Series 522"
"253","Sizes-Series 75"
"859","Sizes-Series K13"
"912","Sizes-Series Squatch Watch"
"621","Sizes-SG KIT"
"185","Sizes-Shifty 1/2/3/5"
"186","Sizes-Shifty Flake"
"317","Sizes-Smoothie"
"174","Sizes-Sparkle Flake"
"190","Sizes-Special/Ghost Pearls"
"223","Sizes-SwirlyQ"
"652","Sizes-SYS202"
"201","Sizes-Tattoo"
"310","Sizes-Tip Flow"
"205","Sizes-Top Binder"
"15","Sizes-Trans/Flo/Opaque Createx"
"20","Sizes-Transparent Base"
"231","Sizes-Typhoon"
"181","Sizes-Varnish"
"254","Sizes-Vega 2000"
"329","Sizes-Velvet Tool"
"208","Sizes-Virtus HS"
"989","Sizes-Virtus KIT"
"207","Sizes-Virtus MS"
"225","Sizes-Virus"
"139","Sizes-VL"
"681","Sizes-VL Plastic Box"
"230","Sizes-Vortex"
"339","Sizes-W100"
"336","Sizes-W400"
"682","Sizes-W400LV"
"1364","Sizes-W400WBX"
"297","Sizes-white blanks"
"873","Sizes-Wicked Cleaner"
"651","Sizes-Wicked Reducer"
"716","Sizes-Wicked Trans Base"
"232","Sizes-Xcaliber"
"1142","Sizes-Yurek 16 & 32"
"998","Sizes-Yurek 4 & 16"
"1143","Sizes-Yurek 4 & 16 TOPCOAT"
"999","Sizes-Yurek 4 & 32"
"330","Sizes-Yurek 4, 16 & 32"
"1001","Sizes-Yurek Flo/Met 16 & 32"
"1000","Sizes-Yurek Flo/Met 4 & 16"
"1141","Sizes-Yurek Flo/Met 4 & 32"
"331","Sizes-Yurek Flo/Met 4, 16 & 32"
"455","Size-Womens Vintage,Jacket,Diner"
"517","Skin Tones"
"1376","Skull Cap Combo 2PK"
"551","Skull Sox"
"548","Skull Thirteen"
"1118","Smoothie 2"
"391","Spectra Flake Size"
"392","Spectra FX"
"461","SpectraFX"
"382","Speed Clear"
"383","Speed Clear Hardener"
"1366","Speed Shapes Color"
"1367","Speed Shapes Qty"
"349","Spray Mask"
"1396","Spray Max Nozzles 3746213"
"1395","Spray Max Nozzles 3746214"
"809","Spray Max Trim Black"
"271","Spring Guide-+/HI"
"395","SRI"
"560","SS"
"318","Staedtler"
"661","Starter Makeup Kit"
"662","Starter Makeup Kit w/ DVD"
"648","Stencil Burner"
"348","Stencil Pellon"
"345","Stetch Mask"
"360","Strainers"
"804","Strainers KIT"
"385","Stylin Basecoats"
"462","Sun Screen Clear"
"463","Sun Screen Hardener"
"990","Super Nova Entech"
"721","Super Nova LS"
"722","Super Nova WS"
"415","System One Perfect Cut"
"807","System One Pro Cut"
"929","System One Production Cut HD"
"521","System One Wax"
"1156","Tamco Hardener for HC2104-G  (HH-7600 Series)"
"1164","Tamco Hardener for HC2104-Q  (HH-7600 Series)"
"1400","Tamco Hardener for HC2105 Gallon Kit"
"1401","Tamco Hardener for HC2105 Quart Kit"
"1166","Tamco Hardener for HC9500-G  (HH-7600 Series)"
"1165","Tamco Hardener for HC9500-Q  (HH-7600 Series)"
"1167","Tamco Hardener for HI-IMPACT-G  (HH-7600 Series)"
"1168","Tamco Hardener for HI-IMPACT-Q  (HH-7600 Series)"
"1405","Tamco Reducer for Gallon Mixing"
"1402","Tamco Reducer for HC2105 Gallon Kit"
"1403","Tamco Reducer for HC2105 Quart Kit"
"653","Tekna HVLP"
"657","Tekna HVLP Waterborne"
"827","TEST1"
"1462","The Last Gun Rack Color"
"157","Title Format"
"158","Title Format VHS-PAL"
"160","Title-ADV ILL"
"1276","Trigger Options CM (A/B/SB/C)"
"1277","Trigger Options CM (C+)"
"1275","Trigger Options CM (V2)"
"1282","Trigger Options CM (V2) BLACK-OPS Coated"
"1280","Trigger Options Eclipse/Revolution"
"1281","Trigger Options Eclipse/Revolution - BLACK-OPS Coated"
"513","Trigger Options HP(A/B/SB)"
"1273","Trigger Options HP(C/ All Hi Line)"
"1278","Trigger Options Kustom (CM/CH)"
"1279","Trigger Options Kustom (CS)"
"519","Triple Action Handle"
"547","Trucker"
"543","Trucker Hat"
"1132","UA Catalyst"
"435","Ultra Mask"
"409","Unigrit"
"747","Upgrades Avanti"
"155","Upgrades ECL"
"11","Upgrades-CM-c/b/sb"
"854","Upgrades-CM-C+ (Round Button)"
"972","Upgrades-CM-C+ (sig. series coated)"
"1027","Upgrades-CM-C+ (Square Trig)"
"1015","Upgrades-CM-KCM (sig. series coated)"
"154","Upgrades-HP c, bc"
"537","URP"
"1224","Valley Kustoms Sand Discs"
"1227","Valley Kustoms Sand Discs SINGLES"
"1239","Valley Kustoms Sizing"
"642","Variegated Black Leaf"
"644","Variegated Blue Leaf"
"693","Variegated Carousel Blue Leaf"
"694","Variegated Carousel Red Leaf"
"708","Variegated Fusion Blue Leaf"
"707","Variegated Fusion Red Leaf"
"643","Variegated Green Leaf"
"706","Variegated M Fusion Blue Leaf"
"705","Variegated M Fusion Red Leaf"
"641","Variegated Red Leaf"
"578","Venture Tape"
"156","VHS/DVD"
"949","Vintage Activator"
"948","Vintage Activator Flat"
"440","Virus II"
"369","VL Glass"
"1429","VsionAir Canvas Jig"
"1427","VsionAir Independent Airbrush Workstation A3/A4"
"1431","VsionAir Table Clamp"
"1428","VsionAir Toolbar Rig"
"1430","VsionAir Tripod Crown Feet"
"812","W101AG"
"479","WB25BT"
"715","Wicked Detail Colors"
"1112","Wicked Detail Universal Fleshtone"
"736","Wicked FL Colors"
"904","Wicked Flat White"
"793","Wicked glow"
"1113","wicked glow white (no 8oz)"
"1408","Wicked Opaque Black/White"
"1407","Wicked Opaque Colors"
"746","Wicked Pearl Colors"
"647","Wicked Transparent Colors"
"930","Wood Canvas 1-1/2"
"411","X-2010"
"379","Xposure Coating"
"523","Xtreme 5170"
"525","Xtreme 5182"
"602","XXX Adhesion Promoter"
"444","Youth-Dorr"
