"Remove_Option","optID","optGroup","optName","optName2","optName3","optPriceDiff","optWholesalePriceDiff","optWeightDiff","optStock","optRegExp","optDefault","optAltImage","optAltLargeImage"
"0","322","89","Quart","","","74.87","0","0","0","","0","",""
"0","323","90","Half Pint","","","29.58","0","0","0","","0","",""
"0","324","90","Quart","","","91.07","0","0","0","","0","",""
"0","325","91","Pint","","","44.5","0","0","0","","0","",""
"0","326","91","Quart","","","77","0","0","0","","0","",""
"0","327","92","Quart","","","49.84","0","0","0","","0","",""
"0","328","92","Gallon","","","179.55","0","0","0","","0","",""
"0","329","93","Quart","","","72.03","0","0","0","","0","",""
"0","330","93","Gallon","","","259.42","0","0","0","","0","",""
"0","331","94","Quart","","","50.95","0","0","0","","0","",""
"0","332","94","Gallon","","","169.95","0","0","0","","0","",""
"0","334","95","4 oz","","","8.32","0","0","0","","0","",""
"0","335","95","8 oz","","","15.13","0","0","0","","0","",""
"0","336","95","16 oz","","","27.51","0","0","0","","0","",""
"0","2304","95","4oz PRE REDUCED 1:1","","","8.32","0","0","0","","0","",""
"0","2873","95","8oz PRE REDUCED 1:1","","","15.13","0","0","0","","0","",""
"0","2874","95","16oz PRE REDUCED 1:1","","","27.51","0","0","0","","0","",""
"0","2875","95","Quart","","","41.48","0","0","0","","0","",""
"0","2876","95","Gallon","","","149.42","0","0","0","","0","",""
"0","4003","95","12oz AEROSOL Spray Can","","","18.95","0","0","0","","0","",""
"0","338","96","4 oz","","","5.95","0","0","0","","0","",""
"0","339","96","8 oz","","","7.95","0","0","0","","0","",""
"0","340","96","16 oz","","","12.95","0","0","0","","0","",""
"0","341","96","Quart","","","17.12","0","0","0","","0","",""
"0","342","96","Gallon","","","59.96","0","0","0","","0","",""
"0","343","97","4 oz","","","5.95","0","0","0","","0","",""
"0","344","97","8 oz","","","7.95","0","0","0","","0","",""
"0","345","97","16 oz","","","12.95","0","0","0","","0","",""
"0","347","97","Quart","","","21.18","0","0","0","","0","",""
"0","4689","97","Gallon","","","61.88","0","0","0","","0","",""
"0","348","98","4 oz","","","5.95","0","0","0","","0","",""
"0","349","98","8 oz","","","7.95","0","0","0","","0","",""
"0","350","98","16 oz","","","12.95","0","0","0","","0","",""
"0","351","98","Quart","","","22.19","0","0","0","","0","",""
"0","352","98","Gallon","","","63","0","0","0","","0","",""
"0","353","99","4 oz","","","6.95","0","0","0","","0","",""
"0","354","99","8 oz","","","10.95","0","0","0","","0","",""
"0","355","99","16 oz","","","14.95","0","0","0","","0","",""
"0","356","99","Quart","","","18.3","0","0","0","","0","",""
"0","357","99","Gallon","","","69.5","0","0","0","","0","",""
